condition,conv_id,turn_index,n_turns,cosine_semanticL
C4-P2,4168,12,24,0.7041622608636717
C4-P2,4168,13,24,0.6409229761591486
C4-P2,4168,14,24,0.5634672681319114
C4-P2,4168,15,24,0.4676811608250353
C4-P2,4168,16,24,0.558369622388048
C4-P2,4168,17,24,0.5558131609465724
C4-P2,4168,18,24,0.5550956417440069
C4-P2,4168,19,24,0.37942115081978167
C4-P2,4168,20,24,0.3566734532457314
SB,4356,0,72,0.5743509536440364
SB,4356,1,72,0.8420242136931768
SB,4356,2,72,0.8279816520583902
SB,4356,3,72,0.0
SB,4356,4,72,0.0
SB,4356,5,72,0.9013768300883668
SB,4356,6,72,0.9285267840551884
SB,4356,7,72,0.7811667828809717
SB,4356,8,72,0.8477633223371188
SB,4356,9,72,0.6873973967713369
SB,4356,10,72,0.0
SB,4356,11,72,0.0
SB,4356,12,72,0.2504346502839945
SB,4356,13,72,0.28438108488134306
SB,4356,14,72,0.5757787928008973
SB,4356,15,72,0.5433065781493885
SB,4356,16,72,0.5343799455327487
SB,4356,17,72,0.608570145488322
SB,4356,18,72,0.8543180237943363
SB,4356,19,72,0.7740906547103776
C4-P1,3902,0,21,0.6978221422300905
C4-P1,3902,1,21,0.7485782020827545
C4-P1,3902,2,21,0.5561510046168133
C4-P1,3902,3,21,0.5559867587816787
